root_id,x_nm,y_nm,z_nm
720575941618502101,296780,181116,173745
720575941690394998,298372,174344,140805
720575941609655017,310832,198408,102735
720575941465672214,264344,178408,155025
720575941566989719,607988,76000,85815
720575941580622581,402824,125100,68175
720575941471700491,555104,129568,76140
720575941503748183,398640,159284,93060
720575941527406669,185216,114976,148500
720575941578656345,600108,70212,88020
720575941524982091,671056,176224,133740
720575941690133110,659436,128252,90270
720575941440374479,178068,129412,141840
720575941579573593,493732,94048,153000
720575941510760464,413604,75964,78390
720575941520919256,384160,151932,63045
720575941625121482,628448,122160,103590
720575941560240366,635812,128864,187110
720575941528651430,679324,123132,197145
720575941652645873,301484,111792,183870
720575941527931650,776720,149572,86940
720575941471045341,282072,143132,147420
720575941541431644,469820,637140,172845
720575941655202265,490472,733564,204435
720575941353080624,416852,214368,41895
720575941550999357,493052,370000,137205
720575941551589181,625440,164908,148050
720575941598907072,544964,174768,121185
720575941566793879,603852,158144,109440
720575941535140362,437396,260284,79335
720575941682268861,413660,862428,248940
720575941534222770,502256,772672,258210
720575941503813207,348032,159116,78390
720575941691311512,545136,574980,131760
720575941542676572,484204,370000,120375
720575941490705865,461724,711032,141300
720575941585144415,570576,649792,104220
720575941530093752,527288,597072,115065
720575941515872003,440516,170456,121050
720575941618895231,481288,370000,130365
720575941530158980,530068,691680,201555
720575941472160011,462572,370000,134955
720575941548378804,407004,179244,176625
720575941575575560,533768,593660,107775
720575941441226943,491288,370000,133155
720575941537629706,463664,370000,115515
720575941530093496,461792,370000,133785
720575941550933821,350632,226824,91035
720575941681023421,437168,849624,184095
720575941569349370,539232,658832,206640
720575941535861482,498328,803324,184365
720575941414947220,597588,136872,132300
720575941576952463,481936,370000,118710
720575941574854665,337500,131112,224910
720575941492017790,525088,281248,109485
720575941539923741,545520,615224,176895
720575941505059397,547660,617444,166365
720575941500077986,381996,213068,125685
720575941486250758,492284,802296,237060
720575941569808754,458400,370000,125910
720575941594188325,482124,370000,124470
720575941477468190,528228,167728,117405
720575941486511682,666580,140784,206775
720575941455972915,425052,174272,154935
720575941574789640,548228,83204,108225
720575941563713846,559320,133912,78885
720575941476419124,602288,196672,202545
720575941597595781,500032,59136,212175
720575941513644291,596936,159076,197100
720575941612799964,496096,262960,94455
720575941642159903,578784,132000,176175
720575941534746856,610988,584244,177885
720575941692032731,486380,171776,189090
720575941462787728,449432,73188,221220
720575941498963618,541480,193608,100620
720575941490706997,483784,165452,60615
720575941451515770,508056,198564,151785
720575941433362017,548384,192028,87480
720575941569677050,559328,192452,96345
720575941590190846,544280,89284,119430
720575941576361654,626432,194928,141120
720575941413898132,513048,163716,122625
720575941599037376,508968,161100,133560
720575941438016018,589732,192384,113985
720575941439719119,590140,175096,195750
720575941511546322,521988,214132,162090
720575941596677927,543144,153784,138825
720575941440440661,528172,177008,61020
720575941611096028,587572,239992,109305
720575941692491672,604536,165984,76680
720575941479434691,556704,107888,83970
720575941496604800,597888,93652,194535
720575941668047603,581184,198952,214020
720575941589207607,522384,145664,148050
720575941450860622,412456,125176,117180
720575941642029138,617340,168956,95445
720575941583701599,538932,172800,107910
720575941622303228,533188,155588,154530
720575941477009217,539968,226664,118530
720575941500864418,568008,89716,113355
720575941527668482,563364,94552,111375
720575941586192774,566580,103596,114615
720575941639538293,584964,92256,202770
720575941466982742,547496,101844,114210
720575941640784159,572384,96996,90720
720575941597267356,426344,667196,217530
720575941644192200,577252,763668,229815
720575941689084172,566344,85456,119430
720575941585864543,575784,213104,133605
720575941522360243,586168,205688,196740
720575941516986723,401768,202660,180360
720575941502306498,420144,164224,179235
720575941538548210,446512,191356,130860
720575941441423551,288748,111588,118575
720575941670799281,345808,112684,133245
720575941597333381,309328,134656,90675
720575941603886582,480084,602140,111105
720575941399414563,432356,603328,44460
720575941549819710,456904,592144,117315
720575941418354204,441176,205660,123930
720575941625906843,415884,79948,117000
720575941496997575,347952,132848,147600
720575941431264905,457032,136920,142380
720575941560961295,363744,99128,133605
720575941585668191,422052,153320,219825
720575941590387012,405208,130820,128340
720575941531076792,312680,92048,144855
720575941431395854,352612,126936,159885
720575941586257542,351480,116944,139095
720575941480876707,347272,114612,139815
720575941535991306,324028,147452,89280
720575941524063991,412520,170208,172395
720575941466719766,411720,224956,116325
720575941514954339,459072,106944,70425
