root_id,x_nm,y_nm,z_nm
720575941435639840,609592,166480,110610
720575941530304900,640408,131480,263475
720575941518152595,429144,120668,153855
720575941530288331,653268,607668,116550
720575941565249846,461436,964456,218295
720575941507607109,285120,84032,136800
720575941449683381,610388,105740,203985
720575941625837770,637092,126860,197415
720575941479427434,626420,160700,175680
720575941548759412,705712,124360,154935
720575941557812083,484212,756172,108855
720575941547410537,650688,77440,179370
720575941436260750,503808,132032,255060
720575941524719691,685344,152080,223965
720575941525285963,284352,93568,221670
720575941450530382,403932,619924,177615
720575941590181444,838556,178956,59220
720575941597057393,901748,85604,19215
720575941453159593,744588,178976,24165
720575941618646485,408376,709568,172530
720575941704492250,157872,98752,180675
720575941459419718,559960,103824,128790
720575941486819981,529064,154096,70290
720575941403204387,192620,99164,102600
720575941516823043,759808,199632,45450
720575941652063729,325216,88912,110205
720575941463456964,128724,126328,81360
720575941454371379,137996,127908,150300
720575941533098371,158976,156480,31725
720575941394247062,138096,186404,105165
720575941574391453,135296,218840,38790
720575941519034734,148676,195052,42075
720575941565605686,703020,139384,76860
720575941704320474,159776,161144,168660
720575941520727479,163936,196652,135675
720575941529554360,203840,213340,23940
720575941565950615,734020,112620,93015
720575941394314756,213916,114284,207630
720575941450560181,841884,142380,121950
720575941569435124,127924,206376,101430
720575941413230447,231816,93552,193860
720575941526119524,396104,98484,77535
720575941643053394,549232,605456,149895
720575941570513396,400436,917632,265770
720575941449886791,493756,799580,241650
720575941456052976,479352,814788,244665
720575941436784191,458756,834680,259920
720575941447799118,612268,624744,173700
720575941475766122,499816,771056,232785
720575941481021181,534148,644492,166815
720575941524050276,532464,682092,233190
720575941477947778,393048,937436,268830
720575941521110711,558100,684436,207180
720575941507246917,545728,770036,160650
720575941590317352,467444,577600,147600
720575941687328495,553596,777272,163620
720575941630330309,418816,870124,213165
720575941576978933,633564,585200,192780
720575941507787024,542904,689228,208260
720575941505893761,559960,657680,227835
720575941604952685,622920,593092,141615
720575941432778638,457396,634588,214110
720575941456363935,427728,660252,199935
720575941507338846,555980,183980,236340
720575941514574595,554712,188124,223425
720575941446459924,613612,198776,204750
720575941437842194,387504,192064,215055
720575941472135978,434944,630528,183195
720575941565616231,583488,205908,209655
720575941503776706,611356,194940,208845
720575941526058573,352996,176988,223020
720575941400595491,590592,166272,240075
720575941597721477,850212,195088,62550
720575941449426766,114708,126048,98100
720575941565863063,769108,169324,27855
720575941482166607,861428,147992,71190
720575941623557484,427872,727364,171135
720575941588045566,450972,806860,199170
720575941556866561,261752,136080,191835
720575941547562601,789804,106752,168705
720575941659916056,729888,184188,135315
720575941449016852,253916,149096,72855
720575941393084932,811736,194376,94365
720575941507349820,735672,127704,116100
720575941681968317,694592,146020,79425
720575941526649090,180460,93824,81810
720575941566248295,599056,195088,221805
720575941554709843,597856,178220,208575
720575941656706265,228312,122140,170775
720575941600212160,783804,122768,66825
720575941669171187,753120,88612,105210
720575941540366229,796948,92540,65115
720575941499271905,798812,146640,123030
720575941517297913,714020,182032,62505
720575941595362343,775868,169220,64440
720575941428217428,736408,145496,78570
720575941477511745,755824,133088,140670
720575941547330409,722852,190672,155880
720575941605226937,719096,143544,68130
720575941553942919,739728,106912,77760
720575941587065054,785352,167144,81540
720575941392989444,865528,146276,70560
720575941432651768,727836,160084,187830
720575941551100989,765628,108828,147105
720575941454884009,785532,186508,58320
720575941569045294,868704,150880,98235
720575941540727794,857640,166504,109530
720575941458442221,244544,148992,28845
720575941461276742,793628,161120,67545
720575941571123700,247980,152496,44280
720575941481720739,746704,174096,97740
720575941557906084,785044,120288,173205
720575941493394151,838344,106616,164115
720575941575752443,805460,208648,24120
720575941394627478,824920,101436,131355
