root_id,is_seed,cell_class,cell_type,nerve,region
720575941554275099,False,lateral_horn_output_neuron,LHPV7a2,,PLP
720575941478449950,False,,CB0115,,PVLP
720575941547393825,False,leg_motor_neuron,tibia_flexor,right_prothoracic_leg_nerve,T1_PRONM
720575941472158506,False,,IN13A035,,T1_PRONM
720575941733909291,True,olfactory_receptor_neuron,ORN_DL5,left_antennal_nerve,AL
720575941503746866,False,,CB1948,,WED
720575941504860978,False,ascending_neuron,AN27X011,,NTCT
720575941478581044,True,olfactory_receptor_neuron,ORN_VM6,left_antennal_nerve,AL
720575941477598004,False,,SMP577,,SMP
720575941567578934,False,lobula_columnar,LC6,,LO
720575941723161402,False,,IN18B008,,T1_PRONM
720575941722047290,False,leg_motor_neuron,tarsus_depressor,right_prothoracic_leg_nerve,T1_PRONM
720575941478187841,False,leg_motor_neuron,tibia_extensor,right_mesothoracic_leg_nerve,T2_MESONM
720575941478515521,False,,CB0738,,PVLP
720575941589205828,False,,CB0086,,WED
720575941459313478,False,single_leg_neuromere,IN04B031,,T1_PRONM
720575941573346120,False,leg_motor_neuron,tergotrochanter,right_posterior_dorsal_mesothoracic_nerve,T2_MESONM
720575941658936144,False,descending_neuron,DNp69,,ICL
720575941509514078,True,olfactory_receptor_neuron,ORN_VL2p,right_antennal_nerve,AL
720575941472748384,False,ventral_nerve_cord_dorsal,IN02A023,,HTCT
720575941514756963,False,kenyon_cell,KCg-m,,MB_CA
720575941545952105,False,,LAL072,,LAL
720575941567644530,False,,IN00A060,,LTCT
720575941569741682,False,,PVLP070,,AVLP
720575941638423413,True,olfactory_receptor_neuron,ORN_DA4m,right_antennal_nerve,AL
720575941639537525,False,,CB0524,,VES
720575941472158583,True,chordotonal_organ_neuron,JO-B,left_antennal_nerve,NO_CONS
720575941400855418,True,,sensory_fragment,right_antennal_nerve,NO_CONS
720575941453611898,False,lobula_intrinsic,Li33,,LO
720575941453087610,False,,CB2047,,LH
720575941449876346,False,,CB1394_d,,AMMC
720575941496341374,True,olfactory_receptor_neuron,ORN_VA1v,right_antennal_nerve,NO_CONS
720575941450728314,False,descending_neuron,DNxl104,,GNG
720575941496734592,False,kenyon_cell,KCab,,MB_CA
720575941662081916,False,lobula_columnar,LC9,,PVLP
720575941528126340,False,kenyon_cell,KCab,,MB_CA
720575941432443785,True,olfactory_receptor_neuron,ORN_VC4,left_antennal_nerve,AL
720575941592548236,True,olfactory_receptor_neuron,ORN_VA6,left_antennal_nerve,NO_CONS
720575941591368588,False,,CB2014,,GNG
720575941432771470,False,single_leg_neuromere,IN09A047,,T1_PRONM
720575941574853519,True,olfactory_receptor_neuron,ORN_VM4,left_antennal_nerve,NO_CONS
720575941538087829,False,ventral_nerve_cord_serially_convergent,INXXX307,,ABDNM
720575941393712022,False,,CB1524,,LH
720575941612929945,True,chordotonal_organ_neuron,JO-B,right_antennal_nerve,AMMC
720575941626168219,True,olfactory_receptor_neuron,ORN_VA1d,left_antennal_nerve,AL
720575941573542813,False,single_leg_neuromere,IN17A028,,T2_MESONM
720575941460034463,False,transmedullary_y,TmY14,,LOP
720575941630493600,False,ascending_neuron,AN07B072,,HTCT
720575941444502442,True,olfactory_receptor_neuron,ORN,left_antennal_nerve,NO_CONS
720575941449745333,False,ascending_neuron,ANXXX027,,AMNP
720575941547393980,True,olfactory_receptor_neuron,ORN_DA1,left_antennal_nerve,NO_CONS
720575941543658428,False,single_leg_neuromere,IN12B012,,T1_PRONM
720575941535466433,False,,,,LOP
720575941506040770,True,olfactory_receptor_neuron,ORN_VA6,right_antennal_nerve,NO_CONS
720575941482185667,True,olfactory_receptor_neuron,ORN_DA2,left_antennal_nerve,AL
720575941481989059,False,single_leg_neuromere,IN03A006,,T1_PRONM
720575941644387272,True,olfactory_receptor_neuron,ORN_VM5v,left_antennal_nerve,AL
720575941623743434,False,proboscis_motor_neuron,MNx04,left_pharyngeal_nerve_or_accessory_pharyngeal_nerve,GNG
720575941519279064,False,,IN19A006,,T3_METANM
720575941656380377,False,,,,LO
720575941470651357,False,,CB2205,,IPS
720575941586584542,False,,WED163c,,IPS
720575941436900319,False,single_leg_neuromere,IN16B074,,T2_MESONM
720575941481464800,True,chordotonal_organ_neuron,JO-A,left_antennal_nerve,AMMC
720575941630428130,True,olfactory_receptor_neuron,ORN_VL2p,right_antennal_nerve,AL
720575941538677731,True,chordotonal_organ_neuron,JO-B,right_antennal_nerve,AMMC
720575941631149026,False,antennal_lobe_projection_neuron,VC2_lPN,,AL
720575941533631461,False,,CB1614,,AVLP
720575941502698475,False,,INXXX284,,T3_METANM
720575941453939693,False,,IN03A056,,T2_MESONM
720575941569414132,False,,CB2364,,AVLP
720575941605262326,False,bristle_neuron,SNta10,right_posterior_dorsal_mesothoracic_nerve,AMNP
720575941550146559,False,kenyon_cell,KCab,,MB_CA
720575941556831233,False,,PVLP016,,AVLP
720575941555127297,False,,PLP237,,PLP
720575941574657032,False,ascending_neuron,AN06B040,,INTTCT
720575941472158731,False,,SMP326a,,CRE
720575941687837708,False,,SAD088,,IPS
720575941559125007,True,chordotonal_organ_neuron,JO-F,right_antennal_nerve,NO_CONS
720575941560566799,False,ascending_neuron,AN17A015,,T3_METANM
720575941653562385,False,,INXXX188,,ABDNM
720575941438735378,False,lateral_horn_local_neuron,LHPV2a4,,LH
720575941611750419,False,leg_motor_neuron,long_tendon_muscle,right_mesothoracic_leg_nerve,T2_MESONM
720575941651989525,False,,CB3115,,IB
720575941655856152,False,single_leg_neuromere,IN12B024,,T2_MESONM
720575941527143449,True,olfactory_receptor_neuron,ORN_VL1,right_antennal_nerve,AL
720575941536580634,False,descending_neuron,DNge129,,GNG
720575941552833563,False,kenyon_cell,KCg-m,,MB_CA
720575941551326235,False,single_leg_neuromere,IN19A106,,T2_MESONM
720575941433230368,False,,IN19A117,,INTTCT
720575941547394081,False,wing_motor_neuron,i2,left_anterior_dorsal_mesothoracic_nerve,INTTCT
720575941434475552,False,lobula_columnar,LC9,,AVLP
720575941401773091,False,single_leg_neuromere,IN04B078,,T1_PRONM
720575941556372516,False,,IN06A126,,HTCT
720575941594711077,True,olfactory_receptor_neuron,ORN_DP1l,left_antennal_nerve,AL
720575941600543785,False,,IN07B032,,HTCT
720575941473928234,False,,CB2995,,AVLP
720575941410161711,True,chordotonal_organ_neuron,JO-B,right_antennal_nerve,GNG
720575941501912114,False,,IN11A008,,T1_PRONM
720575941506171954,False,,AVLP210,,AVLP
720575941478581300,True,olfactory_receptor_neuron,ORN_DL5,left_antennal_nerve,AL
720575941478188084,False,medulla_tangential,MTe37,,ME
720575941567972406,False,lobula_columnar,LC17,,LO
720575941505975356,False,kenyon_cell,KC,,MB_CA
720575941553554494,False,,WED045,,WED
720575941552768062,False,descending_neuron,DNxn172,,GNG
720575941589992516,False,,PLP142,,PLP
720575941506565189,False,kenyon_cell,KCab,,MB_CA
720575941453022279,False,antennal_lobe_projection_neuron,DA2_lPN,,AL
720575941496079433,False,,IN09A072,,T1_PRONM
720575941527667789,False,,WED117,,AVLP
720575941466850390,False,,CL100,,PLP
720575941514888282,False,kenyon_cell,KCg-m,,MB_CA
720575941429363809,False,,IN07B087,,HTCT
720575941516461155,True,chordotonal_organ_neuron,JO-E,left_antennal_nerve,AMMC
720575941526881380,False,kenyon_cell,KCg-m,,MB_CA
720575941610308710,False,lobula_columnar,LC9,,PVLP
720575941577344104,False,,CRE071,,CRE
720575941545690217,False,kenyon_cell,KCab,,MB_CA
720575941546542185,False,,LAL175,,LAL
720575941595956337,False,single_leg_neuromere,IN08A019,,T2_MESONM
720575941643797624,False,peripheral_intrinsic_neuron,PSI,left_posterior_dorsal_mesothoracic_nerve,LTCT
720575941498438779,False,,IN07B068,,HTCT
720575941540185213,False,single_leg_neuromere,IN08A002,,T2_MESONM
720575941539464317,False,single_leg_neuromere,IN04B008,,T2_MESONM
720575941619811455,True,chordotonal_organ_neuron,JO-C,left_antennal_nerve,NO_CONS
720575941585929350,False,ascending_neuron,AN08B023,,T3_METANM
